date,GDPC1,INDPRO,IMPGS,EXPGS,PAYEMS,UNRATE,RSXFS,W875RX1,INDPRO_pct_change_1m,INDPRO_pct_change_12m,INDPRO_ma3,INDPRO_ma12,INDPRO_trend,INDPRO_acceleration,PAYEMS_pct_change_1m,RSXFS_pct_change_1m,W875RX1_pct_change_1m,consumption_income_ratio,EXPGS_pct_change_1m,IMPGS_pct_change_1m,export_import_ratio,MMNRNJ_level,consumption_income_divergence,INDPRO_cycle,production_cycle,INDPRO_velocity,INDPRO_momentum_score,INDPRO_roc_3m,INDPRO_roc_6m,INDPRO_roc_12m,INDPRO_roc_acceleration
2017-05-16,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2017-05-17,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2017-05-18,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2017-05-19,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2017-05-20,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2017-05-21,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2017-05-22,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2017-05-23,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2017-05-24,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2017-05-25,19506.949,-0.5901306713501175,-0.9654297960922644,-0.9554190851224192,-0.8566135133340702,0.11594492902756741,-1.1248762336543527,-1.1070352045095202,-0.014344577293199217,-0.07055452402061935,-0.5867285471866303,-0.5685221531897591,-0.5836070651209815,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.1158262639215761,-0.03780163634701038,-0.031935752837182384,0.6245179139196674,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
